,price,location,baths,bedrooms,Total_Area
161578,100000000,G-11,6,6,5445.0
161579,90000000,G-11,6,6,5445.0
161580,85000000,G-11,6,6,5445.0
161581,75000000,G-11,6,6,5445.0
161582,70000000,G-11,6,6,5445.0
161583,70000000,G-11,6,6,3267.012
161584,60000000,G-11,6,6,3267.012
161585,65000000,G-11,6,6,3267.012
161586,65500000,G-11,6,6,3267.012
161587,29000000,G-11,5,5,1905.757
161588,31000000,G-11,5,5,1905.757
161589,31500000,G-11,5,5,1905.757
161590,35000000,G-11,5,5,1905.757
161591,34000000,G-11,5,5,1905.757
161592,15000000,G-11,4,4,1089.004
161593,16000000,G-11,4,4,1089.004
161594,16500000,G-11,4,4,1089.004
161595,19500000,G-11,4,4,1361.255
161596,22000000,G-11,4,4,1361.255
161597,25000000,G-11,4,4,1361.255
161598,16000000,G-13,5,5,1089.004
161599,60000000,I-8,6,6,3811.514
161600,3600000,DHA Defence,2,2,1361.255
161847,12500000,PWD Housing Scheme,0,2,2722.51
161848,15000000,PWD Housing Scheme,0,5,2722.51
161849,80000000,I-8,10,10,59895.0
161851,52500000,I-8,6,6,3267.012
161852,11000000,B-17,5,4,1361.255
161853,14500000,G-13,5,4,11979.043999999998
161854,16000000,DHA Defence,3,3,16335.0
161855,2800000,DHA Defence,2,2,1361.255
161856,40000000,I-8,0,0,33759.124
161857,40000000,I-8,0,0,33759.124
161858,50000000,I-8,0,0,38659.642
161859,52500000,I-8,0,0,38659.642
161860,42500000,I-8,0,0,38659.642
161861,90000000,I-8,0,0,65340.0
161862,110000000,I-8,0,0,65340.0
161863,115000000,F-8,0,0,5445.0
161864,90000000,F-6,0,0,48460.67799999999
161865,55000000,I-8,0,0,33759.124
161866,70000000,I-8,0,0,65340.0
161867,70000000,I-8,0,0,65340.0
161868,40000000,I-8,0,0,33759.124
161869,16500000,G-13,5,4,11979.043999999998
161870,46500000,G-9,0,0,38659.642
161871,43500000,G-9,0,0,38659.642
161872,46500000,G-9,0,0,38659.642
161873,45000000,G-9,0,0,38659.642
161874,22000000,G-9,0,0,18240.817
161875,20000000,G-9,0,0,15246.056
161876,21000000,G-9,0,0,18240.817
161877,48000000,G-9,0,0,38659.642
161878,39000000,G-9,0,0,29675.359
161879,18500000,G-9,0,0,15246.056
161880,22000000,G-9,0,0,18240.817
161881,26000000,G-9,0,0,18240.817
161882,24000000,G-10,0,0,15246.056
161883,20000000,G-10,0,0,18240.817
161884,30000000,G-8,0,0,25319.343
161885,41000000,G-8,0,0,33759.124
161886,42500000,G-9,0,0,38659.642
161887,42500000,G-9,0,0,38659.642
161888,47500000,G-11,0,0,38659.642
161889,41000000,G-10,0,0,38659.642
161890,56000000,DHA Defence,7,6,5445.0
161891,55000000,DHA Defence,7,6,5445.0
161892,57500000,DHA Defence,7,6,5445.0
161893,56000000,DHA Defence,7,6,5445.0
161894,55000000,DHA Defence,7,6,5445.0
161895,45000000,DHA Defence,7,6,5445.0
161896,48000000,DHA Defence,7,6,5445.0
161897,17200000,DHA Defence,6,5,1361.255
161898,26500000,G-13,7,5,2178.008
162097,30000000,G-13,0,10,2722.51
162099,60000000,G-13,9,7,5445.0
162416,20000000,other,5,5,2178.008
162417,56000000,DHA Defence,7,5,5445.0
162418,49500000,DHA Defence,6,6,5445.0
162419,49000000,DHA Defence,7,6,5445.0
162420,10000000,Ghauri Town,7,5,1361.255
162421,15000000,FECHS,4,5,1905.757
162422,45000000,DHA Defence,6,6,5445.0
162423,11000000,Ghauri Town,7,5,1361.255
162626,22500000,CBR Town,7,7,3267.012
162627,16500000,CBR Town,5,5,1905.757
162628,2300000,DHA Defence,2,2,1361.255
162629,7500000,DHA Defence,4,3,2178.008
162630,3500000,Koral Chowk,4,4,1361.255
162631,47000000,DHA Defence,7,6,5445.0
162632,6300000,DHA Defence,4,3,2178.008
162633,3700000,other,2,2,1361.255
162634,20000000,E-11,4,4,1633.506
162635,42500000,E-11,7,5,27497.351
162636,67500000,F-11,9,9,4356.016
162821,11500000,Swan Garden,4,4,1633.506
162822,11500000,PWD Road,4,4,1361.255
162824,22000000,Bahria Town,5,5,2722.51
162829,24800000,G-8,5,5,1633.506
162995,14000000,B-17,6,4,1905.757
162997,22500000,Bahria Town,4,4,3811.514
163000,145000000,E-7,8,7,59895.0
163001,3000000,Ghauri Town,2,2,816.7529999999999
163002,24500000,CBR Town,6,6,3267.012
163003,22500000,Pakistan Town,8,7,2722.51
163004,27500000,E-11,0,5,338798790.0
163005,66000,G-10,0,4,3811.514
163006,19500000,G-10,0,4,1633.506
163007,42500000,E-11,6,6,27497.351
163008,32500000,E-11,6,4,2178.008
163009,28000000,E-11,7,5,2178.008
163218,20000000,G-8,3,3,1361.255
163219,22500000,G-8,4,4,1633.506
163221,25000000,G-8,5,4,1633.506
163222,28000000,G-8,4,4,2450.259
163479,11000000,Pakistan Town,0,0,2722.51
163480,13000000,Pakistan Town,0,0,2722.51
163481,14500000,Pakistan Town,0,0,2722.51
163482,13500000,Soan Garden,0,0,29675.359
163483,10500000,Soan Garden,0,0,1361.255
163484,10500000,Soan Garden,0,0,1361.255
163485,13500000,Soan Garden,0,0,2722.51
163486,8500000,National Police Foundation O-9,0,0,1361.255
163487,150000,G-13,10,10,3267.012
163488,29500000,F-17,8,7,5445.0
163489,29900000,F-17,8,7,5445.0
163490,29700000,F-17,8,7,5445.0
163491,29800000,F-17,8,7,5445.0
163492,30000000,F-17,8,7,5445.0
163493,22000000,F-17,7,6,3811.514
163494,22200000,F-17,7,6,3811.514
163495,22600000,F-17,7,6,3811.514
163496,65000000,G-6,9,9,59895.0
163497,22000000,F-17,7,6,3811.514
163498,22500000,F-17,7,6,3811.514
163499,18500000,F-17,7,6,3267.012
163500,18200000,F-17,7,6,3267.012
163501,17800000,F-17,7,6,3267.012
163502,17500000,F-17,7,6,3267.012
163503,7000000,PWD Housing Scheme,2,2,1361.255
163504,18000000,F-17,7,6,3267.012
163505,14400000,F-17,7,6,2178.008
163506,14100000,F-17,7,6,2178.008
163507,14600000,F-17,7,6,2178.008
163508,14200000,F-17,7,6,2178.008
163509,14500000,F-17,7,6,2178.008
163716,6500000,Soan Garden,0,0,1361.255
163717,6300000,Soan Garden,3,2,1089.004
163718,16500000,PWD Housing Scheme,0,5,2722.51
163719,15500000,CBR Town,0,4,1905.757
163720,14000000,Soan Garden,0,4,1633.506
163721,7000000,Soan Garden,2,2,1361.255
163722,30000000,G-15,0,0,3267.012
163723,13000000,Royal Avenue,0,4,1361.255
163724,12500000,Royal Avenue,0,4,1361.255
163725,13500000,Royal Avenue,0,4,1361.255
163726,12000000,Royal Avenue,0,4,1361.255
163727,19500000,G-15,6,4,2178.008
163906,13000000,Gulberg,0,0,1361.255
163907,7000000,Gulberg,0,0,816.7529999999999
163908,8700000,Ghauri Town,0,0,1361.255
163910,15000000,Bahria Town,4,4,1361.255
163914,3100000,DHA Defence,2,2,1361.255
164122,28000000,Bahria Town,0,0,31308.865
164124,27000000,G-13,0,5,2178.008
164125,37000000,G-13,0,5,29675.359
164126,32500000,G-13,0,0,29675.359
164127,15000000,G-13,0,0,11979.043999999998
164128,16500000,G-13,0,0,11979.043999999998
164129,25000000,G-13,0,0,2178.008
164130,31500000,G-13,0,0,2178.008
164131,25500000,G-13,0,0,2178.008
164134,7000000,DHA Defence,0,0,2178.008
164135,7000000,DHA Defence,0,0,2178.008
164136,7000000,DHA Defence,0,0,2178.008
164137,7100000,DHA Defence,0,0,2178.008
164138,7100000,DHA Defence,0,0,2178.008
